RaceTitle,CandidateName,Adair,Andrew,Atchison,Audrain,Barry,Barton,Bates,Benton,Bollinger,Boone,Buchanan,Butler,Caldwell,Callaway,Camden,Cape Girardeau,Carroll,Carter,Cass,Cedar,Chariton,Christian,Clark,Clay,Clinton,Cole,Cooper,Crawford,Dade,Dallas,Daviess,De Kalb,Dent,Douglas,Dunklin,Franklin,Gasconade,Gentry,Greene,Grundy,Harrison,Henry,Hickory,Holt,Howard,Howell,Iron,Jackson,Jasper,Jefferson,Johnson,Kansas City,Knox,Laclede,Lafayette,Lawrence,Lewis,Lincoln,Linn,Livingston,Macon,Madison,Maries,Marion,McDonald,Mercer,Miller,Mississippi,Moniteau,Monroe,Montgomery,Morgan,New Madrid,Newton,Nodaway,Oregon,Osage,Ozark,Pemiscot,Perry,Pettis,Phelps,Pike,Platte,Polk,Pulaski,Putnam,Ralls,Randolph,Ray,Reynolds,Ripley,Saline,Schuyler,Scotland,Scott,Shannon,Shelby,St. Charles,St. Clair,St. Francois,St. Louis City,St. Louis County,Ste. Genevieve,Stoddard,Stone,Sullivan,Taney,Texas,Vernon,Warren,Washington,Wayne,Webster,Worth,Wright,
Secretary of State ,Shane Schoeller - REP ,4804 ,4549 ,1547 ,5056 ,8652 ,3992 ,3878 ,5247 ,3459 ,30758 ,14904 ,10569 ,2155 ,9819 ,13569 ,22613 ,2401 ,1570 ,25982 ,3818 ,1932 ,25204 ,1342 ,46576 ,4743 ,21254 ,4126 ,5272 ,2606 ,4476 ,1763 ,2405 ,4141 ,4167 ,5123 ,24335 ,4249 ,1539 ,71707 ,2431 ,2228 ,4846 ,2523 ,1415 ,2289 ,10204 ,1674 ,77816 ,29333 ,43884 ,10256 ,23942 ,927 ,10035 ,8128 ,10408 ,2064 ,11517 ,2550 ,3032 ,3932 ,2609 ,2497 ,6340 ,5067 ,1023 ,7038 ,2167 ,3860 ,1963 ,2947 ,4600 ,3143 ,16835 ,4404 ,2332 ,4320 ,2713 ,2602 ,4763 ,8939 ,9952 ,3698 ,21634 ,8467 ,7457 ,1466 ,2509 ,5445 ,4526 ,1349 ,3051 ,3672 ,902 ,970 ,9633 ,1804 ,1698 ,94124 ,2597 ,10542 ,18906 ,193419 ,3119 ,7923 ,10741 ,1345 ,14367 ,6562 ,4671 ,7947 ,3967 ,3030 ,9727 ,520 ,5299 ,
Secretary of State ,Cisse W. Spragins - LIB ,286 ,219 ,102 ,265 ,371 ,142 ,196 ,242 ,133 ,2968 ,1236 ,395 ,178 ,562 ,586 ,1002 ,71 ,95 ,1289 ,164 ,76 ,863 ,111 ,3344 ,336 ,793 ,213 ,224 ,78 ,188 ,121 ,140 ,147 ,199 ,186 ,1270 ,150 ,76 ,3593 ,143 ,101 ,309 ,128 ,43 ,165 ,468 ,118 ,4091 ,1503 ,2859 ,761 ,2931 ,44 ,395 ,371 ,397 ,105 ,632 ,161 ,149 ,137 ,128 ,106 ,285 ,312 ,38 ,297 ,104 ,163 ,94 ,128 ,248 ,166 ,745 ,275 ,99 ,149 ,127 ,113 ,182 ,517 ,612 ,151 ,1302 ,356 ,391 ,96 ,94 ,286 ,285 ,84 ,178 ,260 ,78 ,46 ,357 ,100 ,61 ,4910 ,124 ,681 ,3707 ,10262 ,202 ,315 ,418 ,47 ,585 ,292 ,279 ,394 ,212 ,121 ,403 ,34 ,194 ,
Secretary of State ,Justin Harter - CST ,79 ,133 ,29 ,107 ,282 ,84 ,94 ,91 ,86 ,796 ,576 ,148 ,76 ,177 ,206 ,240 ,50 ,42 ,641 ,78 ,50 ,315 ,32 ,1089 ,154 ,213 ,80 ,109 ,31 ,164 ,70 ,42 ,116 ,132 ,108 ,576 ,56 ,39 ,1029 ,114 ,66 ,159 ,75 ,29 ,93 ,281 ,69 ,2097 ,461 ,1321 ,380 ,1007 ,14 ,197 ,164 ,152 ,55 ,386 ,63 ,63 ,88 ,61 ,45 ,56 ,127 ,30 ,164 ,64 ,51 ,49 ,71 ,91 ,71 ,249 ,80 ,61 ,55 ,79 ,52 ,53 ,284 ,188 ,91 ,419 ,125 ,176 ,44 ,26 ,130 ,172 ,49 ,98 ,169 ,42 ,17 ,108 ,53 ,33 ,1723 ,69 ,203 ,755 ,3961 ,69 ,127 ,178 ,55 ,295 ,121 ,128 ,133 ,102 ,47 ,149 ,15 ,93 ,
Treasurer ,Clint Zweifel - DEM ,4187 ,3064 ,840 ,4435 ,4401 ,1236 ,3314 ,3558 ,1649 ,41136 ,16995 ,5272 ,1624 ,7903 ,7484 ,11475 ,1658 ,925 ,19854 ,1943 ,1721 ,11903 ,1548 ,49619 ,4224 ,16951 ,3010 ,3702 ,1254 ,2631 ,1504 ,1655 ,2327 ,2094 ,4814 ,21084 ,2715 ,1250 ,51649 ,1570 ,1205 ,4756 ,2026 ,766 ,2188 ,5611 ,2086 ,84032 ,12264 ,46666 ,8921 ,101284 ,772 ,5139 ,6995 ,4960 ,1654 ,9656 ,2472 ,2479 ,2674 ,1965 ,1959 ,4473 ,1838 ,480 ,3507 ,2319 ,2531 ,1665 ,2271 ,3315 ,3580 ,6313 ,4067 ,1780 ,3026 ,1539 ,2924 ,2614 ,6829 ,7048 ,3228 ,20416 ,4533 ,4747 ,574 ,2010 ,3999 ,4982 ,1543 ,1690 ,4661 ,745 ,785 ,6693 ,1736 ,1216 ,80365 ,1891 ,10721 ,114644 ,308331 ,4404 ,4322 ,4801 ,1050 ,6098 ,3991 ,2913 ,6063 ,4296 ,2265 ,5509 ,443 ,2384 ,
Treasurer ,Cole McNary - REP ,4906 ,4506 ,1560 ,4756 ,8096 ,4000 ,3785 ,4971 ,3354 ,28302 ,14835 ,10211 ,2172 ,8922 ,12798 ,21529 ,2297 ,1548 ,24987 ,3564 ,1810 ,23263 ,1376 ,46061 ,4766 ,17915 ,3865 ,5168 ,2394 ,4058 ,1727 ,2372 ,3719 ,3808 ,4970 ,21947 ,3933 ,1471 ,64459 ,2396 ,2115 ,4467 ,2273 ,1379 ,2191 ,9410 ,1572 ,76576 ,29152 ,42486 ,10050 ,24741 ,946 ,9128 ,7699 ,9724 ,2185 ,11012 ,2492 ,2981 ,3890 ,2568 ,2303 ,6730 ,5187 ,1011 ,6538 ,2223 ,3426 ,1997 ,2673 ,4664 ,3115 ,16898 ,4175 ,2248 ,3448 ,2467 ,2656 ,4633 ,8805 ,9621 ,3573 ,21247 ,7572 ,7046 ,1449 ,2662 ,5137 ,4490 ,1271 ,2988 ,3651 ,959 ,970 ,9234 ,1652 ,1764 ,88812 ,2417 ,10220 ,18640 ,183249 ,2935 ,7701 ,9940 ,1376 ,13653 ,5944 ,4810 ,7502 ,3778 ,2916 ,8888 ,532 ,4958 ,
Treasurer ,Sean O'Toole - LIB ,423 ,335 ,119 ,385 ,678 ,261 ,350 ,365 ,229 ,4066 ,1849 ,619 ,250 ,831 ,906 ,1250 ,158 ,121 ,2165 ,257 ,153 ,1415 ,130 ,5211 ,513 ,1167 ,353 ,365 ,136 ,364 ,178 ,196 ,309 ,356 ,334 ,2040 ,233 ,129 ,5805 ,223 ,169 ,486 ,234 ,76 ,237 ,818 ,192 ,6765 ,2229 ,4540 ,1137 ,4766 ,58 ,689 ,613 ,603 ,174 ,1104 ,340 ,233 ,252 ,212 ,139 ,393 ,459 ,62 ,486 ,111 ,243 ,170 ,198 ,383 ,216 ,1068 ,348 ,163 ,209 ,246 ,154 ,220 ,801 ,840 ,239 ,2073 ,579 ,582 ,123 ,145 ,482 ,492 ,141 ,279 ,421 ,93 ,65 ,443 ,153 ,103 ,7723 ,214 ,915 ,4649 ,15585 ,327 ,429 ,693 ,94 ,1016 ,473 ,408 ,621 ,362 ,218 ,591 ,49 ,345 ,
Attorney General ,Chris Koster - DEM ,4985 ,3568 ,957 ,5120 ,5760 ,1783 ,4193 ,4263 ,2038 ,44499 ,18789 ,6442 ,1909 ,8895 ,9255 ,13400 ,1965 ,1189 ,25964 ,2472 ,2024 ,15186 ,1640 ,56884 ,5008 ,19540 ,3428 ,4290 ,1581 ,3384 ,1753 ,1956 ,2916 ,2720 ,5534 ,22360 ,3125 ,1452 ,61096 ,1880 ,1463 ,5674 ,2481 ,907 ,2537 ,7172 ,2365 ,95021 ,16935 ,50004 ,11241 ,106771 ,960 ,6688 ,8061 ,6206 ,1906 ,10730 ,2985 ,2777 ,3312 ,2373 ,2318 ,5173 ,2562 ,601 ,4317 ,2686 ,3065 ,1970 ,2550 ,4007 ,4044 ,8785 ,4397 ,2192 ,3291 ,1995 ,3208 ,3346 ,8212 ,8254 ,3631 ,23416 ,5660 ,5862 ,742 ,2276 ,4859 ,5722 ,1830 ,2104 ,5369 ,877 ,886 ,7836 ,2019 ,1441 ,89129 ,2273 ,12026 ,117599 ,325170 ,4632 ,5532 ,6391 ,1247 ,7956 ,4972 ,4030 ,6699 ,4734 ,2731 ,7030 ,500 ,3213 ,
Attorney General ,Ed Martin - REP ,4311 ,4097 ,1442 ,4202 ,6975 ,3589 ,3189 ,4341 ,3021 ,26181 ,13454 ,9222 ,1922 ,8118 ,11327 ,19811 ,2035 ,1341 ,20632 ,3161 ,1561 ,20516 ,1289 ,40715 ,4145 ,15656 ,3557 ,4768 ,2103 ,3417 ,1536 ,2119 ,3271 ,3346 ,4319 ,21205 ,3615 ,1299 ,56733 ,2200 ,1944 ,3842 ,1900 ,1259 ,1934 ,8126 ,1366 ,68138 ,24981 ,41073 ,8191 ,21710 ,812 ,7772 ,6858 ,8575 ,1980 ,10398 ,2156 ,2824 ,3394 ,2226 ,1994 ,6129 ,4545 ,950 ,5895 ,1831 ,3015 ,1763 ,2436 ,4084 ,2687 ,14605 ,3883 ,1941 ,3233 ,2115 ,2362 ,4019 ,7736 ,8666 ,3282 ,18952 ,6615 ,6084 ,1344 ,2420 ,4459 ,3907 ,1064 ,2701 ,3081 ,833 ,873 ,8206 ,1415 ,1575 ,83158 ,2105 ,9226 ,17515 ,174343 ,2921 ,6577 ,8592 ,1185 ,12228 ,5110 ,3939 ,7067 ,3456 ,2543 ,7505 ,484 ,4252 ,
Attorney General ,Dave Browning - LIB ,332 ,331 ,142 ,371 ,625 ,216 ,236 ,351 ,204 ,3635 ,1540 ,608 ,248 ,791 ,834 ,1227 ,142 ,113 ,1478 ,219 ,131 ,1224 ,127 ,4222 ,450 ,1106 ,329 ,298 ,125 ,302 ,148 ,178 ,283 ,299 ,292 ,1848 ,201 ,137 ,5007 ,186 ,133 ,391 ,217 ,71 ,223 ,695 ,170 ,5739 ,2077 ,3709 ,945 ,3750 ,50 ,625 ,549 ,617 ,172 ,881 ,225 ,226 ,190 ,186 ,138 ,371 ,466 ,50 ,452 ,165 ,211 ,157 ,202 ,371 ,205 ,1101 ,360 ,138 ,210 ,215 ,167 ,200 ,716 ,766 ,240 ,1805 ,530 ,504 ,86 ,143 ,411 ,468 ,136 ,223 ,413 ,109 ,73 ,452 ,154 ,87 ,6149 ,190 ,797 ,3808 ,12028 ,252 ,420 ,609 ,89 ,825 ,457 ,350 ,523 ,334 ,188 ,580 ,51 ,297 ,
U.S. Representative - District 1 ,Lacy Clay - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,112123 ,155804 , , , , , , , , , , , , , ,
U.S. Representative - District 1 ,Robyn Hamlin - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21087 ,39745 , , , , , , , , , , , , , ,
U.S. Representative - District 1 ,Robb E. Cunningham - LIB , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5072 ,6752 , , , , , , , , , , , , , ,
U.S. Representative - District 2 ,Glenn Koenen - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7361 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22653 , , , ,116258 , , , , , , , , , , , , , ,
U.S. Representative - District 2 ,Ann Wagner - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9976 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,42581 , , , ,184414 , , , , , , , , , , , , , ,
U.S. Representative - District 2 ,Bill Slantz - LIB , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,511 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1897 , , , ,6785 , , , , , , , , , , , , , ,
U.S. Representative - District 2 ,Anatol Zorikova - CST , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,116 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,388 , , , ,1508 , , , , , , , , , , , , , ,
U. S. Representative - District 3 ,Eric C. Mayer - DEM , , , , , , , , , , , , , ,5012 ,3280 , , , , , , , , , , ,9901 , , , , , , , , , ,13818 ,1568 , , , , , , , , , , , , ,20650 , , , , , , , ,7601 , , , , ,1099 , , , ,1860 , , , ,1320 , , , , , ,990 , , , , , , , , , , , , , , , , , , , , , ,39738 , , , , , , , , , , , ,4352 , , , , , ,
U. S. Representative - District 3 ,Blaine Luetkemeyer - REP , , , , , , , , , , , , , ,12122 ,8889 , , , , , , , , , , ,25576 , , , , , , , , , ,29777 ,5272 , , , , , , , , , , , , ,25898 , , , , , , , ,13171 , , , , ,3253 , , , ,8548 , , , ,3727 , , , , , ,5694 , , , , , , , , , , , , , , , , , , , , , ,63487 , , , , , , , , , , , ,9429 , , , , , ,
U. S. Representative - District 3 ,Steven Wilson - LIB , , , , , , , , , , , , , ,722 ,450 , , , , , , , , , , ,877 , , , , , , , , , ,1685 ,150 , , , , , , , , , , , , ,2288 , , , , , , , ,916 , , , , ,117 , , , ,394 , , , ,155 , , , , , ,139 , , , , , , , , , , , , , , , , , , , , , ,3975 , , , , , , , , , , , ,485 , , , , , ,
U.S. Representative - District 4 ,Teresa Hensley - DEM , , , ,2799 , ,1116 ,2789 ,2689 , ,35625 , , , , ,2276 , , , ,19505 ,1283 , , , , , , ,2311 , ,794 ,1706 , , , , , , , , , , , ,3532 ,1497 , ,1793 , , , , , ,7140 , , ,3219 , , , , , , , , , , , , , , ,1733 , , ,2569 , , , , , , , , ,5290 , , , , ,3606 , , ,3168 , , , , , , , , , , ,1395 , , , , , , , , , ,2442 , , , ,2843 , , ,
U.S. Representative - District 4 ,Vicky Hartzler - REP , , , ,4469 , ,4306 ,4599 ,6044 , ,34167 , , , , ,6179 , , , ,27169 ,4417 , , , , , , ,4689 , ,2956 ,5133 , , , , , , , , , , , ,5970 ,2963 , ,2640 , , , , , ,12356 , , ,11376 , , , , , , , , , , , , , , ,4368 , , ,5662 , , , , , , , , ,10781 , , , , ,9080 , , ,5930 , , , , , , , , , , ,3036 , , , , , , , , , ,5597 , , , ,8350 , , ,
U.S. Representative - District 4 ,Thomas Holbrook - LIB , , , ,251 , ,157 ,191 ,233 , ,3240 , , , , ,195 , , , ,1192 ,166 , , , , , , ,268 , ,66 ,192 , , , , , , , , , , , ,315 ,135 , ,198 , , , , , ,825 , , ,411 , , , , , , , , , , , , , , ,150 , , ,233 , , , , , , , , ,537 , , , , ,401 , , ,389 , , , , , , , , , , ,122 , , , , , , , , , ,260 , , , ,280 , , ,
U.S. Representative - District 4 ,Greg Cowan - CST , , , ,54 , ,51 ,68 ,41 , ,696 , , , , ,79 , , , ,348 ,56 , , , , , , ,60 , ,27 ,135 , , , , , , , , , , , ,119 ,35 , ,58 , , , , , ,209 , , ,175 , , , , , , , , , , , , , , ,47 , , ,56 , , , , , , , , ,164 , , , , ,145 , , ,121 , , , , , , , , , , ,49 , , , , , , , , , ,64 , , , ,102 , , ,
U.S. Representative - District 5 ,Emanuel Cleaver II - DEM , , , , , , , , , , , , , , , , , , , , , , , ,17449 , , , , , , , , , , , , , , , , , , , , , , , ,62840 , , , ,104582 , , ,6202 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4778 , , ,4439 , , , , , , , , , , , , , , , , , , , , , , , ,
U.S. Representative - District 5 ,Jacob Turk - REP , , , , , , , , , , , , , , , , , , , , , , , ,13163 , , , , , , , , , , , , , , , , , , , , , , , ,63390 , , , ,27471 , , ,8925 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5017 , , ,4183 , , , , , , , , , , , , , , , , , , , , , , , ,
U.S. Representative - District 5 ,Randall (Randy) Langkraehr - LIB , , , , , , , , , , , , , , , , , , , , , , , ,1278 , , , , , , , , , , , , , , , , , , , , , , , ,3435 , , , ,2591 , , ,511 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,361 , , ,321 , , , , , , , , , , , , , , , , , , , , , , , ,
U.S. Representative - District 5 ,Andrew Thomas - WI , , , , , , , , , , , , , , , , , , , , , , , ,0 , , , , , , , , , , , , , , , , , , , , , , , ,0 , , , ,0 , , ,0 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0 , , ,0 , , , , , , , , , , , , , , , , , , , , , , , ,
U.S. Representative - District 5 ,Andrew Feagle - WI , , , , , , , , , , , , , , , , , , , , , , , ,0 , , , , , , , , , , , , , , , , , , , , , , , ,0 , , , ,6 , , ,0 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0 , , ,0 , , , , , , , , , , , , , , , , , , , , , , , ,
U.S. Representative - District 6 ,Kyle Yarber - DEM ,3470 ,2220 ,690 ,728 , , , , , , ,12472 , ,1027 , , , ,859 , , , ,1124 , ,1192 ,24385 ,3219 , , , , , ,911 ,1041 , , , , , ,734 , ,855 ,705 , , ,396 , , , ,13796 , , , , ,554 , , , ,1359 , ,1649 ,1402 ,2190 , , ,3907 , ,269 , , , ,1331 , , , , ,2433 , , , , , , , ,2580 ,15753 , , ,389 ,1786 , , , , , ,537 ,510 , , ,973 , , , , , , , , ,751 , , , , , , , ,306 , ,
U.S. Representative - District 6 ,Sam Graves - REP ,5937 ,5769 ,1885 ,1163 , , , , , , ,21141 , ,2898 , , , ,3277 , , , ,2546 , ,1746 ,44573 ,6198 , , , , , ,2486 ,3167 , , , , , ,2151 , ,3374 ,2850 , , ,1863 , , , ,26287 , , , , ,1232 , , , ,2588 , ,3686 ,4435 ,4605 , , ,7462 , ,1311 , , , ,2410 , , , , ,6224 , , , , , , , ,4151 ,27641 , , ,1799 ,2917 , , , , , ,1287 ,1265 , , ,2091 , , , , , , , , ,1785 , , , , , , , ,706 , ,
U.S. Representative - District 6 ,Russ Lee Monchil - LIB ,238 ,201 ,79 ,67 , , , , , , ,944 , ,180 , , , ,63 , , , ,70 , ,88 ,1777 ,279 , , , , , ,88 ,112 , , , , , ,61 , ,113 ,93 , , ,39 , , , ,1035 , , , , ,33 , , , ,96 , ,116 ,114 ,118 , , ,218 , ,37 , , , ,89 , , , , ,213 , , , , , , , ,184 ,1162 , , ,57 ,86 , , , , , ,48 ,44 , , ,57 , , , , , , , , ,47 , , , , , , , ,33 , ,
U.S. Representative - District 7 ,Jim Evans - DEM , , , , ,3509 , , , , , , , , , , , , , , , , ,10353 , , , , , , , , , , , , , , , , ,46331 , , , , , , , , , ,12138 , , , , , , ,4397 , , , , , , , , ,1883 , , , , , , , , ,6174 , , , , , , , , , , ,3564 , , , , , , , , , , , , , , , , , , , , ,3896 , ,5199 , , , , , ,1054 , , ,
U.S. Representative - District 7 ,Billy Long - REP , , , , ,9164 , , , , , , , , , , , , , , , , ,24505 , , , , , , , , , , , , , , , , ,70212 , , , , , , , , , ,30145 , , , , , , ,9956 , , , , , , , , ,5363 , , , , , , , , ,17499 , , , , , , , , , , ,8631 , , , , , , , , , , , , , , , , , , , , ,10967 , ,14841 , , , , , ,2282 , , ,
U.S. Representative - District 7 ,Kevin Craig - LIB , , , , ,743 , , , , , , , , , , , , , , , , ,2174 , , , , , , , , , , , , , , , , ,6850 , , , , , , , , , ,1913 , , , , , , ,1020 , , , , , , , , ,357 , , , , , , , , ,924 , , , , , , , , , , ,682 , , , , , , , , , , , , , , , , , , , , ,802 , ,975 , , , , , ,228 , , ,
U.S. Representative - District 7 ,Kenneth Joe Brown - WI , , , , ,0 , , , , , , , , , , , , , , , , ,1 , , , , , , , , , , , , , , , , ,7 , , , , , , , , , ,0 , , , , , , ,0 , , , , , , , , ,0 , , , , , , , , ,0 , , , , , , , , , , ,0 , , , , , , , , , , , , , , , , , , , , ,0 , ,1 , , , , , ,0 , , ,
U.S. Representative - District 8 ,Jack Rushin - DEM , , , , , , , , ,886 , , ,3783 , , , ,7445 , ,547 , , , , , , , , , ,2339 , , , , ,1213 ,1116 ,2884 , , , , , , , , , , ,2895 ,1113 , , ,10090 , , , , , , , , , , , ,1106 , , , , , ,1406 , , , , ,2133 , , ,1103 , ,907 ,2184 ,1326 , ,4095 , , , , , , , , ,789 ,1138 , , , ,3878 ,868 , , , ,6166 , , ,2761 ,2381 , , , ,2048 , , ,2510 ,1311 , , ,1334 ,
U.S. Representative - District 8 ,Jo Ann Emerson - REP , , , , , , , , ,4222 , , ,12505 , , , ,26038 , ,2118 , , , , , , , , , ,6757 , , , , ,5151 ,4942 ,7416 , , , , , , , , , , ,12456 ,2741 , , ,14692 , , , , , , , , , , , ,3655 , , , , , ,3270 , , , , ,4888 , , ,3061 , ,3264 ,3782 ,6272 , ,13142 , , , , , , , , ,2301 ,3911 , , , ,12318 ,2652 , , , ,15423 , , ,4711 ,10043 , , , ,8080 , , ,5868 ,4232 , , ,6172 ,
U.S. Representative - District 8 ,Rick Vandeven - LIB , , , , , , , , ,327 , , ,423 , , , ,1704 , ,85 , , , , , , , , , ,266 , , , , ,197 ,325 ,196 , , , , , , , , , , ,784 ,118 , , ,1030 , , , , , , , , , , , ,135 , , , , , ,105 , , , , ,136 , , ,183 , ,176 ,78 ,226 , ,622 , , , , , , , , ,69 ,143 , , , ,622 ,150 , , , ,664 , , ,255 ,372 , , , ,496 , , ,240 ,126 , , ,300 ,
State Senator - District 1 ,Scott Sifton - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45689 , , , , , , , , , , , , , ,
State Senator - District 1 ,Jim Lembke - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,44055 , , , , , , , , , , , , , ,
State Senator - District 3 ,Joseph Fallert  Jr. - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1687 , , ,10129 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1204 , , , , , , , , , ,8823 , , ,4905 , , , , , , , ,3587 , , , , ,
State Senator - District 3 ,Gary Romine - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2229 , , ,10069 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1791 , , , , , , , , , ,13329 , , ,3061 , , , , , , , ,4905 , , , , ,
State Senator - District 5 ,Jamilah Nasheed - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,64026 , , , , , , , , , , , , , , ,
State Senator - District 7 ,Jason Holsman - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13373 , , , ,51301 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Senator - District 9 ,Shalonn (Kiki) Curls - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9133 , , , ,53831 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Senator - District 11 ,Paul LeVota - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,42926 , , , ,7898 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Senator - District 13 ,Gina Walsh - DEM , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,67715 , , , , , , , , , , , , , ,
State Senator - District 13 ,Jacquelyn Thomas - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15243 , , , , , , , , , , , , , ,
State Senator - District 15 ,Eric Schmitt - REP , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,77745 , , , , , , , , , , , , , ,
State Senator - District 17 ,Sandra Reeves - DEM , , , , , , , , , , , , , , , , , , , , , , , ,37997 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Senator - District 17 ,Ryan Silvey - REP , , , , , , , , , , , , , , , , , , , , , , , ,42491 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Senator - District 19 ,Mary Wynne Still - DEM , , , , , , , , , ,32197 , , , , , , , , , , , , , , , , ,2019 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Senator - District 19 ,Kurt Schaefer - REP , , , , , , , , , ,41780 , , , , , , , , , , , , , , , , ,5287 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
State Senator - District 21 ,ElGene Ver Dught - DEM , , , , , , , , , , , , ,1039 , , , ,960 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1487 , , , , , ,4621 , , , ,5305 , , , , ,1576 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3684 , , ,3401 , , , , , , , , , , , , , , , , , , , , , , , ,
State Senator - District 21 ,David Pearce - REP , , , , , , , , , , , , ,2669 , , , ,2977 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2835 , , , , , ,14983 , , , ,9547 , , , , ,3889 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5679 , , ,4911 , , , , , , , , , , , , , , , , , , , , , , , ,
